interacao_id,cliente_id,tipo_interacao,responsavel,duracao_minutos,satisfacao_cliente,data_interacao
45,313,E-mail,Dr. Emanuel da Mata,29,5,2026-01-25 02:27:03
46,323,E-mail,Fernando Freitas,34,1,2025-09-02 15:01:10
47,68,Reunião,Alana Moraes,9,3,2026-04-27 16:51:57
48,99,E-mail,João Gabriel Araújo,59,1,2025-07-08 20:20:44
49,316,E-mail,Dr. Theo Moreira,16,1,2025-08-14 01:04:00
50,195,Reunião,Dra. Stephany Rocha,72,3,2025-10-13 07:20:35
51,359,E-mail,Lívia Araújo,33,3,2025-10-03 00:40:32
52,219,Reunião,Enrico Oliveira,12,5,2026-03-16 05:13:05
53,219,Ligação,Laís Cunha,43,1,2026-02-06 08:30:21
54,138,WhatsApp,Luiz Felipe Monteiro,40,3,2025-12-06 01:33:19
55,365,Reunião,Esther Ribeiro,36,3,2025-06-13 06:25:57
56,459,Ligação,Emanuelly da Rocha,28,1,2025-06-19 09:45:58
57,1,Ligação,Ana Beatriz Fernandes,89,3,2025-10-08 11:41:56
58,109,WhatsApp,Paulo Ferreira,65,3,2025-12-26 10:10:52
59,466,Suporte,Kamilly Pereira,17,4,2026-05-13 06:52:39
60,95,WhatsApp,Beatriz Aragão,67,3,2026-01-30 21:52:47
61,172,WhatsApp,Davi Costa,19,1,2025-08-28 22:36:10
62,343,Ligação,Lara da Paz,92,5,2025-09-18 21:41:52
63,395,E-mail,João Pedro Ribeiro,47,3,2025-07-15 22:12:30
64,380,WhatsApp,Nicolas Rodrigues,100,5,2025-05-27 16:38:00
65,271,Suporte,André Silveira,52,2,2025-11-19 09:33:33
66,333,WhatsApp,Thales Fogaça,31,5,2026-02-24 02:37:15
67,197,Ligação,Theo Ramos,118,1,2025-07-17 17:30:20
68,67,Suporte,João Felipe Gomes,20,1,2026-05-11 09:51:49
69,301,E-mail,André Aragão,29,4,2025-08-17 02:41:21
70,474,Ligação,Dr. Lucca Cavalcanti,14,5,2025-09-28 13:37:06
71,317,WhatsApp,Paulo Oliveira,43,4,2025-09-02 06:25:35
72,390,E-mail,Thomas Jesus,73,2,2025-10-24 00:23:29
73,23,E-mail,João Vitor Souza,29,4,2025-10-30 10:07:08
74,282,WhatsApp,Luiz Otávio Cardoso,119,5,2025-06-01 22:28:56
75,500,WhatsApp,Sr. Vicente Caldeira,119,3,2025-08-27 17:02:20
76,230,Ligação,Leonardo Araújo,60,1,2025-11-03 17:00:40
77,248,Reunião,Nicolas Souza,72,5,2026-03-12 10:29:55
78,405,Ligação,Maria Alice Cardoso,26,5,2025-07-28 02:08:49
79,141,E-mail,Theo Melo,42,1,2026-03-08 15:16:03
80,490,Suporte,Maitê Cardoso,12,2,2025-11-03 22:31:13
81,380,Reunião,Guilherme Gomes,68,5,2025-05-28 16:55:02
82,446,Suporte,Dr. Calebe da Rosa,14,2,2026-04-11 18:53:31
83,225,Suporte,Camila Santos,54,5,2025-12-18 10:57:39
84,400,Reunião,Sr. Davi Lucas da Cunha,56,5,2025-09-29 09:22:24
85,140,E-mail,Danilo Gonçalves,28,1,2025-07-18 13:04:56
86,82,Suporte,Mariana Farias,32,5,2026-05-16 04:16:23
87,357,Ligação,Augusto da Conceição,117,5,2026-04-14 15:56:23
88,234,Suporte,Sr. Samuel da Mota,95,5,2026-01-08 14:14:40
89,133,WhatsApp,Sr. João Lucas Gonçalves,114,2,2025-07-07 10:21:51
90,152,WhatsApp,Vitor Gabriel da Conceição,75,1,2026-01-17 19:30:23
91,88,E-mail,Maria Fernanda Almeida,10,5,2025-08-12 21:38:21
92,122,WhatsApp,Arthur Fogaça,10,2,2026-04-22 21:24:25
93,483,WhatsApp,Dr. Leandro Rocha,22,3,2025-06-30 06:08:18
94,448,Ligação,Rafaela Moreira,87,2,2025-06-20 07:33:24
95,422,E-mail,Lavínia da Cruz,73,1,2025-07-29 02:02:34
96,1,WhatsApp,Anthony Oliveira,85,5,2025-12-25 18:15:00
97,498,WhatsApp,Srta. Emilly Rezende,46,1,2026-05-21 17:04:28
98,485,Suporte,Letícia Pinto,38,2,2025-07-07 17:19:46
99,210,Suporte,Nicole Barbosa,42,3,2025-06-05 15:24:51
100,30,Ligação,Srta. Yasmin Santos,110,3,2025-10-30 00:17:59
101,113,WhatsApp,Vicente Pires,27,3,2025-06-20 02:15:13
102,498,Ligação,Rebeca Mendes,73,5,2025-09-17 22:17:11
103,55,Reunião,Danilo Souza,88,3,2025-10-08 14:20:56
104,446,Suporte,Ana Carolina Oliveira,75,2,2025-10-04 16:36:35
105,419,Reunião,Dra. Alana da Rocha,33,3,2025-10-25 17:42:58
106,138,E-mail,Clara Campos,79,4,2025-08-16 10:26:11
107,80,Reunião,Luna Carvalho,34,4,2025-06-18 19:18:08
108,189,E-mail,Paulo da Conceição,120,4,2025-11-21 05:51:57
109,48,Reunião,Sra. Fernanda Viana,28,4,2026-02-07 08:49:52
110,95,E-mail,Lara Porto,29,5,2025-09-17 06:01:07
111,252,E-mail,Calebe da Rocha,87,3,2026-01-27 07:54:49
112,11,WhatsApp,Giovanna Peixoto,25,2,2025-10-13 02:13:34
113,419,Reunião,João Lucas Aragão,92,5,2025-07-14 16:32:55
114,97,Ligação,Raquel Pires,23,1,2025-07-30 03:26:10
115,219,E-mail,Luiz Otávio Vieira,63,4,2025-09-14 19:54:56
116,52,Suporte,Bárbara Costela,22,1,2025-07-24 03:49:27
117,309,Ligação,Otávio Nascimento,53,4,2025-12-10 09:44:44
118,11,Ligação,João Guilherme da Mota,110,1,2025-07-12 07:44:20
119,391,Ligação,Julia Lima,21,2,2026-02-26 02:52:25
120,395,Ligação,Ana Luiza da Cruz,39,2,2026-05-14 00:36:40
121,481,Suporte,Esther Barros,6,1,2025-10-20 20:40:38
122,491,Ligação,Ana Clara Gomes,74,3,2026-04-25 22:26:16
123,437,Ligação,Lucca Novaes,30,2,2025-07-07 15:35:23
124,246,Suporte,Mirella Azevedo,119,4,2026-03-01 11:42:23
125,418,E-mail,Ana Júlia das Neves,44,3,2025-09-18 12:38:39
126,246,E-mail,Cauê Mendes,36,1,2025-09-17 23:13:03
127,279,WhatsApp,Marcos Vinicius Cardoso,85,5,2025-12-24 02:03:45
128,64,Ligação,Ana Beatriz Melo,110,1,2025-10-01 01:23:38
129,53,Suporte,Sofia Silva,42,1,2026-04-27 14:47:52
130,262,Reunião,Luiz Henrique da Mota,23,1,2025-08-07 15:43:39
131,468,E-mail,Lívia Porto,8,2,2026-02-07 18:14:43
132,219,Reunião,João Gabriel Freitas,23,3,2025-11-02 21:20:47
133,336,WhatsApp,Bruno Nunes,33,4,2026-04-30 04:23:24
134,352,Ligação,Erick Barbosa,67,2,2025-09-13 17:08:50
135,57,E-mail,Srta. Mirella Costela,18,3,2026-05-20 22:18:56
136,183,Ligação,Marcela da Cunha,83,3,2025-10-04 02:37:07
137,61,WhatsApp,Dr. Calebe Novaes,15,1,2026-02-17 03:41:24
138,310,E-mail,Matheus Peixoto,27,4,2026-02-27 16:09:18
139,272,WhatsApp,Stephany Souza,81,2,2025-11-18 22:56:35
140,348,Reunião,Melissa Jesus,24,3,2025-08-21 01:21:53
141,320,WhatsApp,Letícia Duarte,49,1,2025-11-05 23:41:30
142,139,Reunião,Srta. Milena Moura,89,3,2026-02-08 01:58:36
143,478,WhatsApp,Lorena Lima,108,1,2025-06-22 02:17:06
144,404,Ligação,Emanuella Lima,115,2,2025-06-26 09:47:56
145,399,E-mail,Theo Mendes,45,2,2025-06-09 13:15:45
146,200,Reunião,Dra. Gabriela Lima,97,4,2026-01-19 22:07:08
147,418,Ligação,Enzo da Cruz,19,5,2025-07-27 22:36:20
148,219,WhatsApp,Ana Sophia Santos,23,1,2026-02-07 20:32:47
149,166,E-mail,Evelyn Rocha,28,4,2025-06-14 16:52:00
150,181,WhatsApp,Sra. Heloísa da Mota,68,4,2026-04-21 19:00:44
151,247,Reunião,Yago Cavalcanti,82,3,2026-04-23 02:30:29
152,71,E-mail,Lara da Rocha,54,4,2026-02-03 06:49:33
153,282,Reunião,Sr. João Guilherme da Conceição,73,5,2025-07-11 14:11:06
154,253,Suporte,Sr. Kevin da Costa,73,2,2025-10-05 08:01:14
155,197,Ligação,João Guilherme Caldeira,79,4,2025-07-20 23:54:06
156,270,Suporte,Rebeca Viana,104,2,2025-12-23 19:18:38
157,360,Ligação,João Vitor Santos,35,3,2025-12-11 07:39:07
158,2,E-mail,Dr. Noah Teixeira,113,1,2025-12-31 23:33:44
159,186,Suporte,Srta. Ana Julia Nogueira,65,2,2026-02-01 18:54:22
160,472,Ligação,Luiz Felipe Teixeira,12,3,2025-09-24 09:14:38
161,185,E-mail,Marcela da Mota,42,4,2025-07-31 05:22:51
162,74,Suporte,Luna Cardoso,58,2,2025-08-20 04:19:39
163,108,E-mail,Benjamin Sales,12,2,2026-05-08 12:49:38
164,61,E-mail,Lívia Oliveira,53,1,2025-08-30 14:27:59
165,357,Reunião,Maria Alice Oliveira,52,1,2026-03-09 18:57:05
166,360,Ligação,Isaac da Paz,89,5,2025-09-01 07:41:02
167,38,Reunião,Daniela Ramos,112,5,2026-04-10 06:16:50
168,446,E-mail,Emanuella Santos,8,2,2025-07-18 23:16:23
169,188,E-mail,Maitê Vieira,15,2,2025-08-01 11:27:35
170,40,Ligação,Dr. Vinicius Peixoto,77,4,2025-06-09 17:27:43
171,77,E-mail,Maria Cecília Oliveira,65,2,2025-10-26 06:45:16
172,384,Suporte,Ana Vitória Moraes,94,3,2025-07-03 11:32:26
173,241,Reunião,Guilherme da Cruz,97,3,2025-05-26 12:52:02
174,228,Ligação,Maria Cecília Cavalcanti,41,1,2025-10-25 10:02:46
175,80,Ligação,Augusto Pereira,117,1,2025-06-21 04:45:31
176,310,E-mail,Lucca Duarte,69,2,2025-10-18 05:08:12
177,6,Reunião,Emanuella Costa,111,4,2026-03-18 22:22:33
178,349,Reunião,Lara Gomes,75,3,2025-12-05 18:32:39
179,471,Suporte,Dr. Matheus Porto,69,3,2025-12-16 09:23:10
180,364,E-mail,Bruna Carvalho,59,2,2025-11-21 17:24:07
181,140,Ligação,Caio da Cruz,71,4,2026-04-21 22:29:16
182,487,E-mail,Maria Alice Costa,100,2,2025-09-30 04:46:43
183,206,Suporte,Marcos Vinicius Nogueira,12,2,2025-11-08 03:20:38
184,201,E-mail,Pedro Lucas da Costa,110,5,2025-10-05 08:46:21
185,310,Ligação,Renan Martins,109,4,2025-06-10 10:51:10
186,245,WhatsApp,Ana Porto,88,4,2026-01-28 02:04:59
187,424,Reunião,Vitor Hugo Araújo,26,1,2026-03-30 02:04:10
188,412,WhatsApp,Luiz Henrique Moura,87,4,2025-07-31 15:15:57
189,100,WhatsApp,Ana Sophia da Paz,18,1,2025-08-13 16:07:53
190,40,WhatsApp,Dr. Luigi Mendes,82,3,2026-02-21 11:47:27
191,15,E-mail,Catarina Rodrigues,41,2,2025-07-22 06:00:07
192,278,Ligação,Leandro Sales,13,2,2025-09-21 13:15:50
193,306,Ligação,Kevin da Rocha,101,3,2025-09-18 11:58:40
194,97,Suporte,Manuela da Cunha,30,1,2025-11-12 21:15:25
195,124,WhatsApp,Sophie Gonçalves,15,5,2025-09-21 10:37:55
196,290,Ligação,Sr. Marcos Vinicius Araújo,77,4,2025-08-30 18:32:10
197,24,Ligação,Eloah Azevedo,45,1,2025-05-23 22:14:18
198,484,WhatsApp,Sr. Vitor Gabriel Cunha,6,3,2025-12-25 13:57:04
199,385,WhatsApp,Julia Mendes,55,5,2025-07-31 18:13:43
200,100,WhatsApp,Dra. Lívia Barbosa,101,4,2026-04-04 20:47:53
201,372,WhatsApp,Gustavo da Luz,21,1,2026-01-24 14:15:17
202,170,Reunião,João Guilherme da Costa,119,5,2025-11-01 19:36:40
203,52,Suporte,João Guilherme Fogaça,108,2,2026-04-18 02:32:35
204,13,Suporte,Vitor Mendes,106,4,2026-01-21 02:01:06
205,245,Suporte,Eduardo da Rocha,116,1,2025-09-28 11:52:12
206,149,E-mail,Thomas das Neves,24,4,2026-05-07 15:55:26
207,41,Ligação,Fernando Sales,96,2,2026-04-11 18:50:42
208,453,E-mail,Eduarda Porto,108,2,2026-05-09 15:33:20
209,394,E-mail,Diego da Mota,69,5,2025-11-25 17:04:05
210,374,Suporte,Theo Costela,88,5,2026-03-12 03:36:29
211,477,WhatsApp,Larissa Rodrigues,62,2,2025-11-26 18:05:38
212,174,WhatsApp,Sr. Yago Nogueira,51,5,2025-11-05 10:54:07
213,439,Reunião,Stephany Moraes,10,4,2025-10-23 14:09:15
214,123,E-mail,Danilo da Mota,83,5,2025-07-08 08:55:25
215,39,E-mail,Clara da Paz,77,4,2025-09-19 12:48:48
216,50,Ligação,Letícia Cardoso,23,3,2026-02-26 09:51:28
217,281,Ligação,Dr. Renan Cardoso,68,1,2026-01-23 07:48:18
218,233,WhatsApp,Lorena Freitas,26,3,2025-06-30 09:07:08
219,83,Ligação,Fernanda Teixeira,40,5,2025-11-21 00:04:05
220,187,WhatsApp,Benjamin da Paz,16,1,2026-02-19 01:12:52
221,92,Reunião,Matheus Novaes,38,4,2025-08-09 09:24:57
222,132,Reunião,Cecília Silveira,88,2,2025-09-13 05:40:41
223,482,Ligação,Leonardo Pereira,77,4,2025-06-30 16:43:10
224,21,WhatsApp,Guilherme Cunha,114,3,2025-10-11 20:52:23
225,206,Reunião,Pietro Souza,114,5,2026-01-01 13:08:36
226,470,E-mail,Stephany da Conceição,61,3,2025-07-04 01:33:15
227,263,Suporte,Erick Alves,45,3,2025-05-30 15:49:20
228,43,Reunião,Alícia Costela,69,4,2025-10-19 23:01:08
229,135,Ligação,Gustavo Freitas,84,1,2025-07-25 05:05:27
230,380,E-mail,João Pedro Sales,94,5,2025-06-23 08:51:19
231,5,E-mail,Emilly da Cruz,114,1,2026-05-11 03:33:12
232,149,Reunião,Srta. Lavínia Campos,25,5,2025-11-12 15:57:15
233,205,Ligação,Otávio Lima,33,4,2025-10-20 20:31:26
234,448,Reunião,Sr. Nicolas Pinto,90,1,2025-11-19 02:29:33
235,179,Reunião,Sra. Júlia da Rosa,64,5,2025-06-16 09:48:28
236,461,Reunião,João Gomes,18,1,2025-09-21 16:23:21
237,93,Ligação,Beatriz Vieira,55,4,2025-11-29 07:57:42
238,103,Reunião,Beatriz Vieira,47,1,2026-01-08 16:37:40
239,163,WhatsApp,Isabella Farias,82,4,2026-01-26 14:52:01
240,109,Reunião,Luiz Miguel da Paz,19,3,2025-11-15 07:01:35
241,233,Ligação,Thiago Costela,74,2,2025-06-22 07:08:45
242,486,Reunião,Camila Gomes,23,2,2025-10-27 19:53:37
243,164,Suporte,Marcela Viana,9,5,2025-11-05 22:49:04
244,397,Reunião,Catarina Lopes,12,3,2025-06-01 15:10:21
245,405,Reunião,Mariane Costa,65,2,2025-06-16 06:05:25
246,28,E-mail,Mirella Pinto,116,1,2025-08-16 22:04:28
247,488,Reunião,Yago Alves,39,3,2025-06-27 15:36:05
248,326,E-mail,Pedro Miguel Pires,15,2,2026-03-07 17:23:57
249,36,WhatsApp,Sr. Carlos Eduardo Pereira,56,1,2025-09-30 20:43:13
250,153,Reunião,Diego Oliveira,116,4,2026-05-09 19:07:05
251,269,E-mail,Dr. Igor Peixoto,90,3,2025-10-17 00:54:33
252,95,Ligação,Marcelo Aragão,16,4,2025-12-30 21:04:41
253,176,WhatsApp,Igor Novaes,26,2,2026-05-03 17:58:30
254,179,Reunião,Caio Fernandes,66,4,2025-08-13 20:59:03
255,275,E-mail,Maria Cecília Barros,94,4,2026-02-06 14:01:39
256,182,Suporte,Francisco Melo,54,1,2025-07-21 10:29:53
257,288,Suporte,Matheus Moura,30,1,2026-02-25 22:34:33
258,371,Suporte,Gabriela Santos,83,2,2025-05-23 21:21:57
259,166,WhatsApp,Larissa Fernandes,6,2,2026-04-12 14:46:34
260,460,Reunião,Sr. Antônio Campos,23,4,2026-03-23 07:59:25
261,443,WhatsApp,Beatriz Ferreira,19,4,2026-05-11 16:29:04
262,135,Suporte,João Lucas Porto,97,1,2025-11-17 00:10:00
263,231,E-mail,Isabel Moreira,86,4,2025-10-09 03:16:52
264,328,Suporte,João Felipe Viana,17,1,2025-08-03 03:16:34
265,112,E-mail,Dr. Enzo Gabriel Correia,58,5,2025-09-17 10:36:26
266,397,E-mail,André Gomes,81,4,2025-10-05 10:48:40
267,111,WhatsApp,Luna da Rocha,31,2,2026-04-01 11:46:36
268,498,Suporte,Laura Ferreira,6,3,2025-10-17 05:17:33
269,417,WhatsApp,Nicolas Gonçalves,7,3,2026-02-26 04:33:28
270,460,WhatsApp,Daniela da Conceição,69,1,2025-09-10 03:30:13
271,359,Reunião,Pedro Miguel da Mota,88,4,2026-05-23 07:51:58
272,212,Reunião,Sophie Cardoso,50,3,2025-06-11 19:17:16
273,425,Suporte,Maria Correia,59,5,2025-10-14 01:06:49
274,499,WhatsApp,Luana Melo,19,2,2026-03-15 22:09:29
275,235,Reunião,Ana Vitória Melo,52,2,2026-01-16 01:25:41
276,284,Suporte,Sra. Agatha Gomes,25,5,2025-11-10 13:50:46
277,224,Reunião,Pietra Ferreira,41,4,2025-08-28 08:11:14
278,325,WhatsApp,Laura Gonçalves,94,5,2026-05-01 22:12:15
279,481,Ligação,Gustavo Henrique da Conceição,16,1,2025-09-05 12:06:45
280,46,Ligação,Rafael da Mota,83,4,2025-09-22 13:43:41
281,54,Reunião,Catarina Campos,100,5,2026-03-18 10:59:54
282,475,Suporte,Sra. Sabrina Barbosa,17,4,2025-09-14 11:44:35
283,258,Suporte,Stephany Barros,108,1,2026-04-01 13:24:25
284,342,WhatsApp,João Miguel Correia,114,4,2025-12-01 00:57:47
285,109,E-mail,Alícia Nascimento,104,4,2026-03-06 23:09:16
286,283,Reunião,Brenda Carvalho,19,2,2025-10-29 06:55:15
287,439,Reunião,Lorena Castro,20,3,2025-10-14 18:22:34
288,496,Reunião,Srta. Eloah Cavalcanti,57,4,2025-10-08 06:30:15
289,4,WhatsApp,Marcelo da Paz,105,2,2025-06-05 11:38:35
290,260,WhatsApp,Nicolas Barros,39,3,2025-09-22 11:27:05
291,158,Reunião,Murilo Souza,91,2,2025-09-08 07:57:10
292,3,Reunião,Maria Eduarda da Luz,9,1,2025-09-20 02:53:40
293,14,E-mail,Srta. Brenda Duarte,106,3,2026-01-13 17:15:39
294,431,Suporte,Vitor Gabriel da Cruz,109,5,2025-11-13 10:14:56
295,163,WhatsApp,Alexia Freitas,26,5,2025-06-01 10:38:29
296,221,E-mail,Sra. Emanuelly Melo,76,4,2025-09-23 08:44:18
297,99,Suporte,Marina da Paz,87,4,2025-09-03 21:56:01
298,425,Ligação,Davi Lucca Lima,107,5,2025-09-26 15:44:59
299,220,E-mail,Vitor Hugo Santos,86,4,2025-11-30 15:11:54
300,373,E-mail,Camila Ferreira,56,3,2025-10-02 07:57:12
301,265,E-mail,Caroline Ribeiro,60,2,2026-04-24 23:45:17
302,51,E-mail,Theo Duarte,69,1,2025-10-23 17:13:49
303,324,Suporte,Isaac Nunes,105,4,2025-09-15 22:35:39
304,432,WhatsApp,Maria Luiza Freitas,112,5,2025-06-14 07:56:49
305,82,WhatsApp,Maria Clara da Paz,31,1,2025-06-21 05:23:06
306,48,Ligação,Gabriel Lopes,60,1,2025-10-12 09:13:20
307,322,Suporte,Isaac Farias,24,1,2025-08-26 21:40:42
308,317,Suporte,Sra. Sofia Almeida,15,5,2025-06-23 22:45:55
309,196,Ligação,Alice Barros,100,2,2026-01-09 12:09:35
310,233,WhatsApp,João Vitor Caldeira,28,2,2026-01-07 13:41:18
311,335,E-mail,Clara Moreira,43,2,2026-05-09 23:08:11
312,275,E-mail,Gabriela Teixeira,97,4,2026-01-12 13:30:39
313,395,WhatsApp,Diogo Fernandes,89,1,2026-04-17 12:52:42
314,141,Ligação,Luigi Ribeiro,23,1,2026-04-07 06:14:52
315,327,Suporte,Lara Martins,115,1,2026-03-20 01:54:37
316,57,Reunião,Srta. Elisa Pereira,81,1,2026-05-12 15:01:08
317,55,E-mail,Srta. Luiza Araújo,41,3,2026-03-23 11:46:17
318,459,E-mail,Stella Duarte,16,1,2026-01-05 18:24:01
319,254,WhatsApp,Maitê Correia,112,2,2026-01-26 14:33:29
320,201,Ligação,Juan Ramos,67,1,2025-10-12 01:25:42
321,212,Ligação,Giovanna Costela,67,1,2025-11-05 12:26:30
322,108,Reunião,Luana Peixoto,53,3,2025-06-06 03:11:41
323,325,Reunião,Pietra da Rosa,108,2,2026-03-28 23:52:31
324,93,WhatsApp,Levi das Neves,6,2,2025-05-31 21:47:42
325,338,Suporte,Isis da Mata,85,5,2025-09-01 05:18:31
326,438,Ligação,Gabrielly Ferreira,20,3,2026-01-27 03:50:25
327,178,Reunião,Nathan Silva,83,5,2025-09-21 18:54:39
328,280,Ligação,Beatriz Ramos,25,5,2025-11-13 20:50:31
329,380,WhatsApp,Juan Almeida,20,2,2025-05-25 15:36:41
330,311,Ligação,Isabel Araújo,73,1,2026-02-16 06:11:59
331,266,Suporte,Sr. Yuri Cavalcanti,102,2,2025-11-10 13:50:18
332,111,WhatsApp,Isaac Silva,19,2,2026-03-12 19:17:15
333,16,WhatsApp,Manuela Cardoso,22,2,2026-03-29 02:53:56
334,43,E-mail,Carolina Moraes,39,3,2026-04-28 15:09:53
335,247,E-mail,Ana Vitória Fogaça,16,3,2025-07-21 23:07:44
336,363,Suporte,Noah Cardoso,88,3,2026-04-21 13:46:35
337,240,Reunião,Alana Ramos,60,5,2025-10-14 03:31:50
338,485,Reunião,Dr. Luigi Santos,29,3,2026-02-22 00:33:37
339,89,E-mail,Samuel Vieira,92,3,2026-02-07 22:29:19
340,493,Reunião,Letícia da Rocha,18,5,2025-10-11 08:46:13
341,407,Suporte,Srta. Maria Cecília Almeida,44,2,2025-07-17 13:07:09
342,407,E-mail,Dr. Leonardo Pires,97,4,2026-04-02 17:27:57
343,222,Reunião,Antônio Martins,59,5,2025-09-23 12:48:18
344,383,WhatsApp,Samuel Barbosa,109,3,2025-12-24 07:03:40
345,319,Ligação,Carolina Moura,82,4,2025-08-08 17:43:45
346,220,E-mail,Bruno Rocha,77,3,2026-05-22 07:41:55
347,192,Ligação,Leonardo Pereira,62,2,2026-02-06 04:16:07
348,456,Ligação,Maysa Silveira,70,3,2025-11-11 18:48:33
349,301,Reunião,Lavínia Teixeira,42,5,2025-10-23 16:31:16
350,424,Suporte,Maria Julia Pires,50,4,2025-12-29 08:19:29
351,16,Ligação,Lucca da Cunha,28,3,2026-02-18 15:39:15
352,220,E-mail,Sra. Ana Sophia Lima,50,2,2025-09-07 03:13:31
353,38,E-mail,Raul Cunha,89,3,2025-12-04 21:59:30
354,191,E-mail,Srta. Daniela Mendes,104,3,2025-07-26 05:14:03
355,63,Ligação,João Lucas Nogueira,45,1,2026-03-15 03:46:41
356,368,WhatsApp,Emilly Viana,32,4,2025-07-22 09:19:37
357,291,WhatsApp,Pedro Miguel Sales,120,2,2025-11-09 09:09:42
358,288,Ligação,João Guilherme Moraes,54,3,2026-03-16 14:38:13
359,309,E-mail,Bianca Martins,72,2,2025-10-19 09:28:06
360,53,Suporte,Sr. Lorenzo Moraes,40,5,2025-06-29 04:36:52
361,485,Ligação,Sr. Fernando Pires,78,4,2025-10-19 03:52:44
362,350,Reunião,Mariana da Mata,45,3,2025-07-30 08:56:08
363,102,E-mail,Lívia Gonçalves,11,4,2026-02-11 06:25:05
364,256,Ligação,Emanuelly Dias,40,4,2025-12-01 01:51:23
365,62,Ligação,Yuri Nunes,62,2,2026-03-06 02:42:48
366,308,WhatsApp,Cauê Pinto,80,4,2026-04-05 15:32:51
367,122,Suporte,Srta. Stephany Ribeiro,7,3,2025-09-21 06:16:01
368,10,Suporte,Lucas da Conceição,5,4,2025-08-22 19:37:44
369,146,E-mail,Srta. Bruna das Neves,112,4,2025-11-03 12:52:09
370,19,Suporte,Amanda Pires,72,1,2025-12-30 08:45:00
371,173,Ligação,Yasmin Sales,13,4,2026-01-27 11:38:00
372,49,Reunião,Dr. Diego Aragão,97,3,2025-08-24 01:43:23
373,141,WhatsApp,Rafaela Cardoso,101,3,2026-03-23 20:09:34
374,205,Ligação,Gabriela Gonçalves,76,3,2026-03-12 21:19:05
375,253,Suporte,Melissa Vieira,11,4,2026-04-09 15:59:43
376,153,Reunião,Dra. Amanda Rocha,68,1,2026-02-11 04:31:14
